2017-11-12 01:31:43,479 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 01:31:43,535 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 01:31:43,601 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, urls: [empty://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 01:31:43,895 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 01:32:47,298 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 01:32:47,304 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:5617,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:03:16,954 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:03:16,955 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:5695,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:13:25,603 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:13:25,605 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:7234,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:16:59,520 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:16:59,520 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:8020,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:20:12,243 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:20:12,244 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:8177,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:22:03,936 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:22:03,937 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:8477,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:27:04,709 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:9829. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:27:04,712 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:8661,url:dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,doUpdateConnum,listD,edit,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=2716&revision=dev&side=provider&timestamp=1510421497322&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:32,162 INFO [com.alibaba.dubbo.common.logger.LoggerFactory] - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2017-11-12 02:34:32,252 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Use container type([spring]) to run dubbo serivce., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:40,473 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: cn.mldn.dibmp.service.ISaleServicejdk, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:40,651 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.service.ISaleServicejdk to local registry, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:40,651 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.service.ISaleServicejdk to url dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,edit,listD,doUpdateConnum,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=11444&revision=dev&side=provider&timestamp=1510425280495&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:40,652 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Register dubbo service cn.mldn.dibmp.service.ISaleServicejdk url dubbo://192.168.221.1:9829/cn.mldn.dibmp.service.ISaleServicejdk?anyhost=true&application=mldn-service-jdk&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.service.ISaleServicejdk&methods=add,getName,listCity,edit,listD,doUpdateConnum,listC,list,listCritem,getAddPre,getAllCrById,addCustomerRecord&pid=11444&revision=dev&side=provider&timestamp=1510425280495&version=dev to registry registry://192.168.28.105:2182/com.alibaba.dubbo.registry.RegistryService?application=mldn-service-jdk&dubbo=2.5.6&pid=11444&registry=zookeeper&timestamp=1510425280479, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-12 02:34:40,822 INFO [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] Start NettyServer bind /0.0.0.0:9829, export /192.168.221.1:9829, dubbo version: 2.5.6, current host: 127.0.0.1
